城市,日期,白天天氣現象,白天降雨機率,白天最低溫度,白天舒適度,白天最高溫度,晚上天氣現象,晚上降雨機率,晚上最低溫度,晚上舒適度,晚上最高溫度
嘉義縣,2023-01-09,晴時多雲,10,17,稍有寒意至舒適,24,晴時多雲,20,18,稍有寒意至舒適,21
新北市,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,24,多雲時陰短暫雨,40,18,稍有寒意至舒適,21
嘉義市,2023-01-09,晴時多雲,10,17,稍有寒意至舒適,25,多雲時晴,20,17,稍有寒意至舒適,21
新竹縣,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,22,陰時多雲短暫雨,30,17,稍有寒意,19
新竹市,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,21,多雲短暫雨,30,17,稍有寒意,18
臺北市,2023-01-09,多雲時陰短暫雨,30,17,稍有寒意至舒適,24,多雲時陰短暫雨,40,17,稍有寒意,20
臺南市,2023-01-09,多雲時晴,10,18,稍有寒意至舒適,23,晴時多雲,20,18,稍有寒意,20
宜蘭縣,2023-01-09,陰時多雲短暫雨,60,16,稍有寒意至舒適,21,陰短暫雨,70,17,稍有寒意,19
苗栗縣,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,21,多雲短暫雨,30,17,稍有寒意,19
雲林縣,2023-01-09,晴時多雲,10,17,稍有寒意至舒適,24,多雲時晴,20,17,稍有寒意,20
花蓮縣,2023-01-09,陰時多雲短暫雨,70,17,稍有寒意至舒適,22,陰短暫雨,70,18,稍有寒意至舒適,20
臺中市,2023-01-09,多雲時陰,10,18,稍有寒意至舒適,23,多雲短暫雨,30,18,稍有寒意至舒適,21
臺東縣,2023-01-09,陰時多雲短暫雨,40,18,稍有寒意至舒適,23,陰時多雲短暫雨,50,19,稍有寒意至舒適,21
桃園市,2023-01-09,多雲時陰短暫雨,30,17,稍有寒意至舒適,24,多雲時陰短暫雨,40,17,稍有寒意,20
南投縣,2023-01-09,多雲,10,17,稍有寒意至舒適,23,多雲短暫雨,30,17,稍有寒意至舒適,21
高雄市,2023-01-09,多雲,10,19,稍有寒意至舒適,24,晴時多雲,20,19,稍有寒意至舒適,23
金門縣,2023-01-09,多雲時陰短暫雨,60,16,稍有寒意,19,多雲時陰短暫雨,50,16,稍有寒意,17
屏東縣,2023-01-09,多雲,10,19,稍有寒意至舒適,26,陰時多雲,20,19,稍有寒意至舒適,24
基隆市,2023-01-09,陰時多雲短暫雨,40,17,稍有寒意至舒適,22,陰時多雲短暫雨,70,17,稍有寒意,20
澎湖縣,2023-01-09,多雲,10,17,稍有寒意,19,陰時多雲,20,17,稍有寒意,18
彰化縣,2023-01-09,多雲,10,17,稍有寒意至舒適,21,多雲時晴,20,18,稍有寒意,19
連江縣,2023-01-09,陰短暫雨,40,13,寒冷,15,陰時多雲短暫雨,40,13,寒冷,14
